 2) + 17.921 us   |    } /* run_rebalance_domains */
 2)   0.029 us    |                        br_handle_vlan [bridge]();
 2)               |                        netif_receive_skb() {
 2)               |                          netif_receive_skb_internal() {
 2)               |                            __netif_receive_skb() {
 2)               |                              __netif_receive_skb_core() {
 2)               |                                ip_rcv() {
 2)               |                                  nf_hook_slow() {
 2)               |                                    nf_iterate() {
 2)   0.038 us    |                                      ipv4_conntrack_defrag [nf_defrag_ipv4]();
 2)               |                                      ipv4_conntrack_in [nf_conntrack_ipv4]() {
 2)               |                                        nf_conntrack_in [nf_conntrack]() {
 2)   0.051 us    |                                          ipv4_get_l4proto [nf_conntrack_ipv4]();
 2)   0.242 us    |                                          __nf_ct_l4proto_find [nf_conntrack]();
 2)               |                                          udp_error [nf_conntrack]() {
 2)   0.036 us    |                                            nf_ip_checksum();
 2)   0.592 us    |                                          }
 2)               |                                          nf_ct_get_tuple [nf_conntrack]() {
 2)   0.041 us    |                                            ipv4_pkt_to_tuple [nf_conntrack_ipv4]();
 2)   0.040 us    |                                            udp_pkt_to_tuple [nf_conntrack]();
 2)   0.700 us    |                                          }
 2)   0.256 us    |                                          hash_conntrack_raw [nf_conntrack]();
 2)               |                                          __nf_conntrack_find_get [nf_conntrack]() {
 2)   0.021 us    |                                            __local_bh_enable_ip();
 2)   0.917 us    |                                          }
 2)   0.027 us    |                                          udp_get_timeouts [nf_conntrack]();
 2)               |                                          udp_packet [nf_conntrack]() {
 2)   0.053 us    |                                            __nf_ct_refresh_acct [nf_conntrack]();
 2)   0.414 us    |                                          }
 2)   6.002 us    |                                        }
 2)   6.369 us    |                                      }
 2)               |                                      iptable_mangle_hook [iptable_mangle]() {
 2)               |                                        ipt_do_table [ip_tables]() {
 2)   0.027 us    |                                          __local_bh_enable_ip();
 2)   0.885 us    |                                        }
 2)   1.358 us    |                                      }
 2)               |                                      iptable_nat_ipv4_in [iptable_nat]() {
 2)               |                                        nf_nat_ipv4_in [nf_nat_ipv4]() {
 2)               |                                          nf_nat_ipv4_fn [nf_nat_ipv4]() {
 2)   0.029 us    |                                            nf_ct_nat_ext_add [nf_nat]();
 2)   0.037 us    |                                            nf_nat_packet [nf_nat]();
 2)   1.248 us    |                                          }
 2)   1.546 us    |                                        }
 2)   1.909 us    |                                      }
 2) + 11.641 us   |                                    }
 2) + 11.857 us   |                                  }
 2)               |                                  ip_rcv_finish() {
 2)               |                                    udp_v4_early_demux() {
 2)   0.239 us    |                                      ip_check_mc_rcu();
 2)   0.246 us    |                                      ip_mc_sf_allow();
 2)   0.165 us    |                                      ip_mc_sf_allow();
 2)   2.019 us    |                                    }
 2)               |                                    ip_route_input_noref() {
 2)   0.019 us    |                                      ip_check_mc_rcu();
 2)               |                                      fib_validate_source() {
 2)   1.260 us    |                                        fib_table_lookup();
 2)   1.873 us    |                                      }
 2)               |                                      rt_dst_alloc() {
 2)               |                                        dst_alloc() {
 2)   0.034 us    |                                          kmem_cache_alloc();
 2)               |                                          dst_init() {
 2)   0.019 us    |                                            __local_bh_enable_ip();
 2)   0.495 us    |                                          }
 2)   1.118 us    |                                        }
 2)   1.624 us    |                                      }
 2)   4.653 us    |                                    }
 2)               |                                    ip_local_deliver() {
 2)               |                                      nf_hook_slow() {
 2)               |                                        nf_iterate() {
 2)               |                                          iptable_mangle_hook [iptable_mangle]() {
 2)               |                                            ipt_do_table [ip_tables]() {
 2)   0.019 us    |                                              __local_bh_enable_ip();
 2)   0.328 us    |                                            }
 2)   0.541 us    |                                          }
 2)               |                                          iptable_filter_hook [iptable_filter]() {
 2)               |                                            ipt_do_table [ip_tables]() {
 2)   0.020 us    |                                              __local_bh_enable_ip();
 2)   1.002 us    |                                            }
 2)   1.210 us    |                                          }
 2)               |                                          iptable_nat_ipv4_fn [iptable_nat]() {
 2)               |                                            nf_nat_ipv4_fn [nf_nat_ipv4]() {
 2)   0.083 us    |                                              nf_ct_nat_ext_add [nf_nat]();
 2)   0.020 us    |                                              nf_nat_packet [nf_nat]();
 2)   0.584 us    |                                            }
 2)   0.822 us    |                                          }
 2)   0.034 us    |                                          ipv4_helper [nf_conntrack_ipv4]();
